Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Vacuum - Model 59,Vacuum,103,3,0.0%,69.9%,28.8%,1.3%,2,1,0
Vacuum - Model 60,Vacuum,103,15,0.0%,53.2%,18.8%,28.0%,8,3,4
Vacuum - Model 61,Vacuum,103,36,0.0%,62.9%,29.5%,7.6%,23,11,2
Vacuum - Model 62,Vacuum,103,36,0.0%,43.0%,12.6%,44.3%,15,5,16
Vacuum - Model 63,Vacuum,103,29,0.0%,47.6%,11.7%,40.7%,14,3,12
Vacuum - Model 64,Vacuum,103,10,0.0%,59.4%,14.3%,26.3%,6,1,3
Vacuum - Model 65,Vacuum,103,27,0.0%,55.8%,26.1%,18.1%,15,7,5
Vacuum - Model 66,Vacuum,103,16,0.0%,77.2%,6.8%,16.0%,12,1,3
Vacuum - Model 67,Vacuum,103,116,0.0%,48.4%,21.8%,29.9%,56,25,35
Vacuum - Model 68,Vacuum,103,62,0.0%,54.3%,11.4%,34.3%,34,7,21
Vacuum - Model 69,Vacuum,103,42,0.0%,51.8%,13.1%,35.1%,22,5,15
Vacuum - Model 70,Vacuum,103,9,0.0%,73.9%,8.4%,17.6%,7,1,1
Vacuum - Model 71,Vacuum,103,10,0.0%,68.4%,18.8%,12.8%,7,2,1
Vacuum - Model 72,Vacuum,103,1,0.0%,51.9%,15.5%,32.6%,1,0,0
Vacuum - Model 73,Vacuum,103,40,0.0%,50.2%,20.3%,29.5%,20,8,12
Vacuum - Model 74,Vacuum,103,4,0.0%,43.3%,5.1%,51.6%,2,0,2
Vacuum - Model 75,Vacuum,103,19,0.0%,65.1%,9.9%,25.0%,12,2,5
Vacuum - Model 76,Vacuum,103,7,0.0%,42.8%,14.9%,42.2%,3,1,3
Vacuum - Model 77,Vacuum,103,74,0.0%,42.0%,27.2%,30.8%,31,20,23
Vacuum - Model 78,Vacuum,103,21,0.0%,41.1%,19.5%,39.4%,9,4,8
Vacuum - Model 79,Vacuum,103,27,0.0%,57.5%,21.8%,20.7%,16,6,5
Vacuum - Model 80,Vacuum,103,39,0.0%,53.1%,8.9%,38.0%,21,3,15
Vacuum - Model 81,Vacuum,103,5,0.0%,76.7%,23.3%,0.0%,4,1,0
Vacuum - Model 82,Vacuum,103,30,0.0%,74.4%,11.3%,14.3%,22,3,5
Vacuum - Model 83,Vacuum,103,25,0.0%,41.6%,12.6%,45.9%,10,3,12
Vacuum - Model 84,Vacuum,103,7,0.0%,61.5%,13.2%,25.4%,4,1,2
Vacuum - Model 85,Vacuum,103,93,0.0%,73.1%,11.8%,15.1%,68,11,14
Vacuum - Model 86,Vacuum,103,30,0.0%,78.6%,16.4%,5.0%,24,5,1
Vacuum - Model 87,Vacuum,103,39,0.0%,73.7%,9.9%,16.5%,29,4,6
Vacuum - Model 88,Vacuum,103,69,0.0%,56.5%,22.5%,21.1%,39,16,14
Vacuum - Model 89,Vacuum,103,32,0.0%,45.5%,8.3%,46.1%,15,3,14
Vacuum - Model 90,Vacuum,103,11,0.0%,78.0%,22.0%,0.0%,9,2,0
Vacuum - Model 91,Vacuum,103,4,0.0%,41.6%,15.0%,43.4%,2,1,1
Vacuum - Model 92,Vacuum,103,20,0.0%,57.3%,23.6%,19.1%,11,5,4
Vacuum - Model 93,Vacuum,103,8,0.0%,50.0%,9.6%,40.4%,4,1,3
Vacuum - Model 94,Vacuum,103,18,0.0%,43.2%,15.7%,41.1%,8,3,7
Vacuum - Model 95,Vacuum,103,70,0.0%,67.5%,6.5%,26.0%,47,5,18
Vacuum - Model 96,Vacuum,103,13,0.0%,76.6%,16.1%,7.3%,10,2,1
Vacuum - Model 97,Vacuum,103,4,0.0%,49.6%,7.3%,43.1%,2,0,2
Vacuum - Model 98,Vacuum,103,14,0.0%,47.3%,28.4%,24.3%,7,4,3
Vacuum - Model 99,Vacuum,103,77,0.0%,65.5%,17.9%,16.6%,50,14,13
Vacuum - Model 100,Vacuum,103,10,0.0%,66.3%,15.9%,17.8%,7,2,1
Vacuum - Model 101,Vacuum,103,34,0.0%,69.2%,6.2%,24.6%,24,2,8
Vacuum - Model 102,Vacuum,103,0,0.0%,62.6%,9.0%,28.4%,0,0,0
Vacuum - Model 103,Vacuum,103,14,0.0%,44.8%,13.5%,41.6%,6,2,6
Coffee maker - Model 1,Coffee maker,180,4,0.0%,46.6%,15.3%,38.1%,2,1,1
Coffee maker - Model 2,Coffee maker,180,16,0.0%,71.1%,17.0%,11.9%,11,3,2
Coffee maker - Model 3,Coffee maker,180,168,0.1%,79.4%,14.4%,6.2%,133,24,11
Coffee maker - Model 4,Coffee maker,180,8,0.0%,70.0%,14.8%,15.2%,6,1,1
Coffee maker - Model 5,Coffee maker,180,1,0.0%,73.2%,19.2%,7.6%,1,0,0
Coffee maker - Model 6,Coffee maker,180,62,0.0%,42.5%,5.9%,51.5%,26,4,32
Coffee maker - Model 7,Coffee maker,180,71,0.0%,45.4%,5.3%,49.3%,32,4,35
Coffee maker - Model 8,Coffee maker,180,18,0.0%,43.0%,22.3%,34.7%,8,4,6
Coffee maker - Model 9,Coffee maker,180,27,0.0%,61.4%,23.7%,14.9%,17,6,4
Coffee maker - Model 10,Coffee maker,180,45,0.0%,76.5%,19.6%,3.8%,34,9,2
Coffee maker - Model 11,Coffee maker,180,2,0.0%,69.0%,23.9%,7.0%,1,0,1
Coffee maker - Model 12,Coffee maker,180,129,0.0%,55.1%,11.0%,33.9%,71,14,44
Coffee maker - Model 13,Coffee maker,180,94,0.0%,48.2%,11.3%,40.5%,45,11,38
Coffee maker - Model 14,Coffee maker,180,13,0.0%,51.0%,10.2%,38.8%,7,1,5
Coffee maker - Model 15,Coffee maker,180,1,0.0%,75.1%,23.9%,0.9%,1,0,0
Coffee maker - Model 16,Coffee maker,180,117,0.0%,41.9%,11.7%,46.4%,49,14,54
Coffee maker - Model 17,Coffee maker,180,30,0.0%,40.9%,17.5%,41.7%,12,5,13
Coffee maker - Model 18,Coffee maker,180,34,0.0%,59.0%,25.8%,15.2%,20,9,5
Coffee maker - Model 19,Coffee maker,180,50,0.0%,52.3%,25.4%,22.3%,26,13,11
Coffee maker - Model 20,Coffee maker,180,41,0.0%,78.7%,7.2%,14.1%,32,3,6
Coffee maker - Model 21,Coffee maker,180,125,0.0%,71.7%,19.7%,8.6%,90,25,10
Coffee maker - Model 22,Coffee maker,180,125,0.0%,59.2%,15.5%,25.3%,74,19,32
Coffee maker - Model 23,Coffee maker,180,87,0.0%,71.4%,21.0%,7.6%,62,18,7
Coffee maker - Model 24,Coffee maker,180,44,0.0%,72.2%,27.6%,0.2%,32,12,0
Coffee maker - Model 25,Coffee maker,180,70,0.0%,64.7%,29.5%,5.8%,45,21,4
Coffee maker - Model 26,Coffee maker,180,49,0.0%,64.3%,20.9%,14.8%,32,10,7
Coffee maker - Model 27,Coffee maker,180,37,0.0%,62.2%,7.3%,30.5%,23,3,11
Coffee maker - Model 28,Coffee maker,180,6,0.0%,69.1%,18.7%,12.3%,4,1,1
Coffee maker - Model 29,Coffee maker,180,72,0.0%,58.0%,27.8%,14.2%,42,20,10
Coffee maker - Model 30,Coffee maker,180,74,0.0%,51.9%,18.1%,30.0%,38,13,23
Coffee maker - Model 31,Coffee maker,180,43,0.0%,67.9%,24.9%,7.2%,29,11,3
Coffee maker - Model 32,Coffee maker,180,74,0.0%,58.4%,26.1%,15.6%,43,19,12
Coffee maker - Model 33,Coffee maker,180,46,0.0%,70.8%,6.7%,22.6%,33,3,10
Coffee maker - Model 34,Coffee maker,180,10,0.0%,41.8%,20.5%,37.6%,4,2,4
Coffee maker - Model 35,Coffee maker,180,14,0.0%,53.9%,10.2%,35.9%,8,1,5
Coffee maker - Model 36,Coffee maker,180,10,0.0%,63.2%,13.5%,23.3%,6,1,3
Coffee maker - Model 37,Coffee maker,180,20,0.0%,61.5%,16.5%,22.0%,12,3,5
Coffee maker - Model 38,Coffee maker,180,2,0.0%,63.4%,15.0%,21.6%,1,0,1
Coffee maker - Model 39,Coffee maker,180,42,0.0%,67.9%,9.5%,22.6%,29,4,9
Coffee maker - Model 40,Coffee maker,180,18,0.0%,67.9%,15.3%,16.8%,12,3,3
Coffee maker - Model 41,Coffee maker,180,46,0.0%,75.0%,17.9%,7.1%,34,8,4
Coffee maker - Model 42,Coffee maker,180,21,0.0%,78.9%,20.0%,1.0%,17,4,0
Coffee maker - Model 43,Coffee maker,180,50,0.0%,49.0%,25.5%,25.5%,24,13,13
Coffee maker - Model 44,Coffee maker,180,18,0.0%,53.8%,13.7%,32.5%,10,2,6
Coffee maker - Model 45,Coffee maker,180,13,0.0%,41.3%,18.7%,40.0%,5,2,6
Coffee maker - Model 46,Coffee maker,180,30,0.0%,61.4%,13.9%,24.7%,18,4,8
Coffee maker - Model 47,Coffee maker,180,51,0.0%,75.8%,8.2%,16.0%,39,4,8
Coffee maker - Model 48,Coffee maker,180,19,0.0%,53.2%,13.0%,33.8%,10,2,7
Coffee maker - Model 49,Coffee maker,180,119,0.0%,43.7%,17.0%,39.3%,52,20,47
Coffee maker - Model 50,Coffee maker,180,2,0.0%,67.5%,17.8%,14.7%,1,0,1
Coffee maker - Model 51,Coffee maker,180,23,0.0%,46.3%,14.4%,39.3%,11,3,9
Coffee maker - Model 52,Coffee maker,180,148,0.1%,40.1%,26.7%,33.2%,59,40,49
Coffee maker - Model 53,Coffee maker,180,34,0.0%,43.4%,19.9%,36.7%,15,7,12
Coffee maker - Model 54,Coffee maker,180,24,0.0%,79.5%,18.4%,2.1%,19,4,1
Coffee maker - Model 55,Coffee maker,180,36,0.0%,77.0%,10.9%,12.1%,28,4,4
Coffee maker - Model 56,Coffee maker,180,37,0.0%,70.4%,18.3%,11.3%,26,7,4
Coffee maker - Model 57,Coffee maker,180,57,0.0%,68.8%,6.6%,24.6%,39,4,14
Coffee maker - Model 58,Coffee maker,180,6,0.0%,45.9%,8.3%,45.8%,3,0,3
Coffee maker - Model 59,Coffee maker,180,12,0.0%,67.5%,26.1%,6.4%,8,3,1
Coffee maker - Model 60,Coffee maker,180,38,0.0%,70.0%,5.8%,24.3%,27,2,9
Coffee maker - Model 61,Coffee maker,180,87,0.0%,74.7%,13.9%,11.5%,65,12,10
Coffee maker - Model 62,Coffee maker,180,36,0.0%,55.9%,7.6%,36.5%,20,3,13
Coffee maker - Model 63,Coffee maker,180,12,0.0%,69.5%,9.6%,20.9%,8,1,3
Coffee maker - Model 64,Coffee maker,180,49,0.0%,62.6%,26.0%,11.4%,31,13,5
Coffee maker - Model 65,Coffee maker,180,58,0.0%,43.6%,18.4%,38.0%,25,11,22
Coffee maker - Model 66,Coffee maker,180,12,0.0%,49.3%,13.6%,37.1%,6,2,4
Coffee maker - Model 67,Coffee maker,180,21,0.0%,59.0%,13.9%,27.2%,12,3,6
Coffee maker - Model 68,Coffee maker,180,33,0.0%,66.0%,17.0%,17.1%,22,6,5
Coffee maker - Model 69,Coffee maker,180,30,0.0%,63.4%,23.4%,13.2%,19,7,4
Coffee maker - Model 70,Coffee maker,180,21,0.0%,62.3%,19.7%,18.0%,13,4,4
Coffee maker - Model 71,Coffee maker,180,15,0.0%,62.6%,14.5%,23.0%,9,2,4
Coffee maker - Model 72,Coffee maker,180,5,0.0%,53.5%,27.5%,19.0%,3,1,1
Coffee maker - Model 73,Coffee maker,180,2,0.0%,64.3%,11.1%,24.6%,1,0,1
Coffee maker - Model 74,Coffee maker,180,138,0.0%,59.9%,13.3%,26.8%,83,18,37
Coffee maker - Model 75,Coffee maker,180,81,0.0%,77.3%,5.2%,17.5%,63,4,14
Coffee maker - Model 76,Coffee maker,180,19,0.0%,49.0%,14.1%,36.9%,9,3,7
Coffee maker - Model 77,Coffee maker,180,136,0.0%,59.5%,26.3%,14.2%,81,36,19
Coffee maker - Model 78,Coffee maker,180,49,0.0%,43.5%,25.1%,31.3%,21,12,16
Coffee maker - Model 79,Coffee maker,180,28,0.0%,42.2%,26.1%,31.7%,12,7,9
Coffee maker - Model 80,Coffee maker,180,29,0.0%,42.1%,5.5%,52.5%,12,2,15
Coffee maker - Model 81,Coffee maker,180,4,0.0%,67.9%,29.9%,2.2%,3,1,0
Coffee maker - Model 82,Coffee maker,180,4,0.0%,75.9%,19.4%,4.7%,3,1,0
Coffee maker - Model 83,Coffee maker,180,40,0.0%,76.7%,5.1%,18.2%,31,2,7
Coffee maker - Model 84,Coffee maker,180,35,0.0%,79.0%,17.3%,3.7%,28,6,1
Coffee maker - Model 85,Coffee maker,180,10,0.0%,68.9%,25.5%,5.6%,7,3,0
Coffee maker - Model 86,Coffee maker,180,126,0.0%,68.7%,18.4%,12.9%,87,23,16
Coffee maker - Model 87,Coffee maker,180,66,0.0%,59.1%,26.0%,15.0%,39,17,10
Coffee maker - Model 88,Coffee maker,180,5,0.0%,48.2%,29.2%,22.6%,2,1,2
Coffee maker - Model 89,Coffee maker,180,116,0.0%,68.4%,10.0%,21.6%,79,12,25
Coffee maker - Model 90,Coffee maker,180,158,0.1%,69.4%,18.2%,12.3%,110,29,19
Coffee maker - Model 91,Coffee maker,180,238,0.1%,68.3%,24.2%,7.5%,163,58,17
Coffee maker - Model 92,Coffee maker,180,2,0.0%,43.5%,17.7%,38.9%,1,0,1
Coffee maker - Model 93,Coffee maker,180,58,0.0%,77.3%,13.0%,9.7%,45,8,5
Coffee maker - Model 94,Coffee maker,180,34,0.0%,63.8%,14.2%,22.0%,22,5,7
Coffee maker - Model 95,Coffee maker,180,53,0.0%,58.2%,18.7%,23.1%,31,10,12
Coffee maker - Model 96,Coffee maker,180,150,0.1%,62.0%,10.0%,28.0%,93,15,42
Coffee maker - Model 97,Coffee maker,180,50,0.0%,67.4%,7.2%,25.4%,34,4,12
Coffee maker - Model 98,Coffee maker,180,78,0.0%,45.6%,5.1%,49.4%,36,4,38
Coffee maker - Model 99,Coffee maker,180,87,0.0%,44.7%,16.8%,38.5%,39,15,33
Coffee maker - Model 100,Coffee maker,180,79,0.0%,64.2%,24.9%,10.9%,51,20,8
Coffee maker - Model 101,Coffee maker,180,24,0.0%,44.3%,26.3%,29.5%,11,6,7
Coffee maker - Model 102,Coffee maker,180,11,0.0%,69.8%,15.2%,14.9%,8,2,1
Coffee maker - Model 103,Coffee maker,180,22,0.0%,73.8%,26.2%,0.0%,16,6,0
Coffee maker - Model 104,Coffee maker,180,96,0.0%,48.2%,14.5%,37.3%,46,14,36
Coffee maker - Model 105,Coffee maker,180,7,0.0%,77.0%,23.0%,0.0%,5,2,0
Coffee maker - Model 106,Coffee maker,180,31,0.0%,41.9%,24.5%,33.5%,13,8,10
Coffee maker - Model 107,Coffee maker,180,11,0.0%,73.1%,23.8%,3.1%,8,3,0
Coffee maker - Model 108,Coffee maker,180,38,0.0%,72.0%,25.6%,2.4%,27,10,1
Coffee maker - Model 109,Coffee maker,180,86,0.0%,47.5%,10.9%,41.7%,41,9,36
Coffee maker - Model 110,Coffee maker,180,92,0.0%,65.4%,27.7%,7.0%,60,25,7
Coffee maker - Model 111,Coffee maker,180,12,0.0%,52.6%,19.7%,27.6%,6,2,4
Coffee maker - Model 112,Coffee maker,180,103,0.0%,67.3%,16.3%,16.4%,69,17,17
Coffee maker - Model 113,Coffee maker,180,39,0.0%,68.6%,27.5%,4.0%,27,11,1
Coffee maker - Model 114,Coffee maker,180,19,0.0%,65.0%,18.5%,16.5%,12,4,3
Coffee maker - Model 115,Coffee maker,180,53,0.0%,57.5%,19.4%,23.0%,31,10,12
Coffee maker - Model 116,Coffee maker,180,28,0.0%,54.2%,14.8%,31.0%,15,4,9
Coffee maker - Model 117,Coffee maker,180,21,0.0%,61.3%,6.7%,32.1%,13,1,7
Coffee maker - Model 118,Coffee maker,180,53,0.0%,49.2%,18.6%,32.3%,26,10,17
Coffee maker - Model 119,Coffee maker,180,12,0.0%,57.3%,13.3%,29.4%,7,2,3
Coffee maker - Model 120,Coffee maker,180,17,0.0%,69.2%,22.3%,8.4%,12,4,1
Coffee maker - Model 121,Coffee maker,180,25,0.0%,46.7%,27.0%,26.4%,12,7,6
Coffee maker - Model 122,Coffee maker,180,13,0.0%,59.8%,23.5%,16.6%,8,3,2
Coffee maker - Model 123,Coffee maker,180,22,0.0%,62.9%,29.9%,7.1%,14,7,1
Coffee maker - Model 124,Coffee maker,180,37,0.0%,70.1%,22.7%,7.2%,26,8,3
Coffee maker - Model 125,Coffee maker,180,58,0.0%,71.1%,8.6%,20.3%,41,5,12
Coffee maker - Model 126,Coffee maker,180,63,0.0%,48.2%,22.9%,29.0%,30,14,19
Coffee maker - Model 127,Coffee maker,180,75,0.0%,59.8%,23.9%,16.4%,45,18,12
Coffee maker - Model 128,Coffee maker,180,59,0.0%,44.1%,18.4%,37.5%,26,11,22
Coffee maker - Model 129,Coffee maker,180,49,0.0%,55.2%,16.4%,28.4%,27,8,14
Coffee maker - Model 130,Coffee maker,180,12,0.0%,64.2%,17.6%,18.3%,8,2,2
Coffee maker - Model 131,Coffee maker,180,22,0.0%,61.6%,17.2%,21.2%,14,4,4
Coffee maker - Model 132,Coffee maker,180,28,0.0%,56.4%,24.3%,19.3%,16,7,5
Coffee maker - Model 133,Coffee maker,180,4,0.0%,40.5%,20.0%,39.6%,2,1,1
Coffee maker - Model 134,Coffee maker,180,33,0.0%,62.6%,22.9%,14.5%,21,8,4
Coffee maker - Model 135,Coffee maker,180,25,0.0%,64.0%,25.7%,10.4%,16,6,3
Coffee maker - Model 136,Coffee maker,180,70,0.0%,78.4%,13.6%,8.1%,55,9,6
Coffee maker - Model 137,Coffee maker,180,165,0.1%,49.1%,15.6%,35.3%,81,26,58
Coffee maker - Model 138,Coffee maker,180,35,0.0%,51.5%,20.4%,28.1%,18,7,10
Coffee maker - Model 139,Coffee maker,180,17,0.0%,76.5%,8.5%,15.0%,13,1,3
Coffee maker - Model 140,Coffee maker,180,2,0.0%,44.0%,11.4%,44.6%,1,0,1
Coffee maker - Model 141,Coffee maker,180,112,0.0%,69.0%,19.8%,11.1%,77,22,13
Coffee maker - Model 142,Coffee maker,180,109,0.0%,44.1%,28.0%,27.9%,48,30,31
Coffee maker - Model 143,Coffee maker,180,13,0.0%,71.6%,5.6%,22.8%,9,1,3
Coffee maker - Model 144,Coffee maker,180,51,0.0%,66.1%,24.3%,9.7%,34,12,5
Coffee maker - Model 145,Coffee maker,180,3,0.0%,55.0%,6.7%,38.3%,2,0,1
Coffee maker - Model 146,Coffee maker,180,8,0.0%,43.1%,7.6%,49.3%,3,1,4
Coffee maker - Model 147,Coffee maker,180,11,0.0%,72.9%,27.1%,0.0%,8,3,0
Coffee maker - Model 148,Coffee maker,180,15,0.0%,44.9%,10.9%,44.2%,7,2,6
Coffee maker - Model 149,Coffee maker,180,237,0.1%,46.6%,9.7%,43.7%,110,23,104
Coffee maker - Model 150,Coffee maker,180,52,0.0%,73.5%,13.3%,13.2%,38,7,7
Coffee maker - Model 151,Coffee maker,180,21,0.0%,52.5%,10.7%,36.9%,11,2,8
Coffee maker - Model 152,Coffee maker,180,58,0.0%,64.3%,14.5%,21.2%,37,8,13
Coffee maker - Model 153,Coffee maker,180,107,0.0%,69.8%,10.1%,20.1%,75,11,21
Coffee maker - Model 154,Coffee maker,180,138,0.0%,71.5%,20.1%,8.4%,99,28,11
Coffee maker - Model 155,Coffee maker,180,3,0.0%,44.6%,15.4%,40.1%,1,0,2
Coffee maker - Model 156,Coffee maker,180,22,0.0%,73.2%,26.8%,0.0%,16,6,0
Coffee maker - Model 157,Coffee maker,180,5,0.0%,58.6%,17.0%,24.4%,3,1,1
Coffee maker - Model 158,Coffee maker,180,18,0.0%,76.7%,19.7%,3.6%,14,4,0
Coffee maker - Model 159,Coffee maker,180,8,0.0%,41.3%,27.8%,30.9%,3,2,3
Coffee maker - Model 160,Coffee maker,180,45,0.0%,49.9%,19.4%,30.6%,22,9,14
Coffee maker - Model 161,Coffee maker,180,21,0.0%,46.6%,5.8%,47.5%,10,1,10
Coffee maker - Model 162,Coffee maker,180,11,0.0%,52.5%,24.5%,23.0%,6,3,2
Coffee maker - Model 163,Coffee maker,180,13,0.0%,51.1%,10.5%,38.4%,7,1,5
Coffee maker - Model 164,Coffee maker,180,19,0.0%,48.5%,17.9%,33.6%,9,3,7
Coffee maker - Model 165,Coffee maker,180,13,0.0%,79.0%,16.5%,4.5%,10,2,1
Coffee maker - Model 166,Coffee maker,180,26,0.0%,62.3%,26.5%,11.2%,16,7,3
Coffee maker - Model 167,Coffee maker,180,1,0.0%,61.4%,9.6%,29.0%,1,0,0
Coffee maker - Model 168,Coffee maker,180,14,0.0%,52.0%,12.7%,35.3%,7,2,5
Coffee maker - Model 169,Coffee maker,180,23,0.0%,55.9%,15.7%,28.4%,13,4,6
Coffee maker - Model 170,Coffee maker,180,40,0.0%,72.0%,13.7%,14.3%,29,5,6
Coffee maker - Model 171,Coffee maker,180,14,0.0%,58.7%,20.6%,20.6%,8,3,3
Coffee maker - Model 172,Coffee maker,180,6,0.0%,55.1%,25.9%,19.0%,3,2,1
Coffee maker - Model 173,Coffee maker,180,3,0.0%,63.5%,12.4%,24.2%,2,0,1
Coffee maker - Model 174,Coffee maker,180,122,0.0%,68.6%,18.2%,13.2%,84,22,16
Coffee maker - Model 175,Coffee maker,180,23,0.0%,61.4%,17.0%,21.6%,14,4,5
Coffee maker - Model 176,Coffee maker,180,38,0.0%,59.9%,24.1%,16.0%,23,9,6
Coffee maker - Model 177,Coffee maker,180,109,0.0%,44.1%,13.4%,42.5%,48,15,46
Coffee maker - Model 178,Coffee maker,180,4,0.0%,43.0%,23.8%,33.1%,2,1,1
Coffee maker - Model 179,Coffee maker,180,91,0.0%,50.9%,27.4%,21.7%,46,25,20
Coffee maker - Model 180,Coffee maker,180,35,0.0%,61.1%,25.0%,13.9%,21,9,5
Hi-Fi separates - Model 1,Hi-Fi separates,93,7,0.0%,62.7%,16.9%,20.4%,4,1,2
Hi-Fi separates - Model 2,Hi-Fi separates,93,51,0.0%,66.5%,28.4%,5.0%,34,14,3
Hi-Fi separates - Model 3,Hi-Fi separates,93,44,0.0%,69.3%,10.4%,20.3%,30,5,9
